step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,0.25504159927368164
300,2.013385772705078,0.0,0.13368181818181818,0.0029889165186613824,5.988865613937378
600,1.9704508781433105,0.0,0.1355,0.0029312252584644026,11.78856873512268
900,1.9641717672348022,0.0,0.13518181818181818,0.0028262802505665758,17.51553177833557
1200,1.8333845138549805,0.0,0.2145,0.0026779520437983317,23.301198720932007
1500,0.5876181125640869,0.0505,0.7415909090909091,0.0024917112325092902,29.130465030670166
1800,0.35656991600990295,0.2315,0.8621363636363636,0.002274426691825128,35.04059863090515
2100,0.259424090385437,0.3185,0.895,0.0020341122419518937,40.91793990135193
2400,0.19875897467136383,0.465,0.9276818181818182,0.0017796310849753703,46.62332272529602
2700,0.16095399856567383,0.584,0.9477272727272728,0.0015203689150246297,52.19134283065796
3000,0.10986346006393433,0.7805,0.9759545454545454,0.0012658877580481063,57.8209867477417
3300,0.07049506157636642,0.9005,0.9900909090909091,0.0010255733081748729,63.459094762802124
3600,0.05542996898293495,0.9355,0.9937727272727273,0.0008082887674907099,69.14758563041687
3900,0.039323922246694565,0.97,0.9971363636363636,0.0006220479562016685,74.83395981788635
4200,0.029799943789839745,0.982,0.9983181818181818,0.00047371974943342433,80.47027373313904
4500,0.024809902533888817,0.9905,0.9990909090909091,0.00036877474153559735,86.03552794456482
4800,0.02197197824716568,0.992,0.9992727272727273,0.00031108348133861787,91.62518572807312
4999,0.020128635689616203,0.9935,0.9994090909090909,0.00030000027746700307,95.41718864440918
